Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
4421 Eglinton Ave W,35000605,Other - Public Services,1
3 Morningview Trail,35000602,Other - Public Services,1
3460 Midland Ave,35000603,Other - Public Services,1
23 Barberry Pl,35000600,Other - Public Services,1
290 Dean Park Rd,35000601,Other - Public Services,1
Street Lighting East York,35000582,Other - Public Services,1
Street Lighting Etobicoke,35000583,Other - Public Services,1
Sidney Belsey Cres,35000580,Other - Public Services,1
St James Town,35000581,Other - Public Services,1
Metro 27 Lighting,35000578,Other - Public Services,1
Nyctophilia,35000579,Other - Public Services,1
BlueGold Variation,35000576,Other - Public Services,1
Don Mills Rd.,35000577,Other - Public Services,1
Traffic Control Signals,35000590,Other - Public Services,1
Bermondsey Transfer Station,35000591,Other - Public Services,48976
Toronto Island Street Lighting,35000588,Other - Public Services,1
Advance Traffic Management,35000589,Other - Public Services,1
Street Lighting Toronto,35000586,Other - Public Services,1
Street Lighting York,35000587,Other - Public Services,1
Street Lighting North York,35000584,Other - Public Services,1
Street Lighting Scarborough,35000585,Other - Public Services,1
2800 Steeles Ave W,35000630,Transportation Terminal/Station,1
298 Dundas St W Pole 76,35000631,Transportation Terminal/Station,2
24 Alness St,35000628,Transportation Terminal/Station,1
27 Lascelles Blvd,35000629,Transportation Terminal/Station,1
1873 Bloor Street W,35000626,Transportation Terminal/Station,1
20 The Queensway,35000627,Transportation Terminal/Station,1
1577 Danforth Ave Unit Ttcpkg,35000624,Transportation Terminal/Station,1
1635 Danforth Ave,35000625,Transportation Terminal/Station,1
554 Queen St W Pole 186,35000638,Transportation Terminal/Station,1
700 Arrow Rd,35000639,Transportation Terminal/Station,230000
366 Old Weston Rd,35000636,Transportation Terminal/Station,1
406 Victoria Park Ave Pole Opp 3,35000637,Transportation Terminal/Station,1
300 Transit Rd,35000634,Transportation Terminal/Station,1
348 Queens Quay W,35000635,Transportation Terminal/Station,1
3 Spadina Ave Pole 5,35000632,Transportation Terminal/Station,1
30 Denton Ave,35000633,Transportation Terminal/Station,1
Bus Shelter Lighting,35000614,Other - Public Services,267
King-Liberty Bridge,35000615,Other - Public Services,1
86 Ingram Dr.,35000612,Other - Public Services,1
949 Wilson Ave,35000613,Other - Public Services,1
617 Vaughan Rd,35000610,Other - Public Services,1
760 Victoria Park Ave,35000611,Other - Public Services,1
519 Conlins Rd,35000608,Other - Public Services,1
608 Bellamy Rd,35000609,Other - Public Services,1
1328 Lansdowne Ave,35000622,Transportation Terminal/Station,1
15 Price St,35000623,Transportation Terminal/Station,1
1 Ranleigh - Fire Vent,35000620,Transportation Terminal/Station,1
128 York St Pole 50,35000621,Transportation Terminal/Station,1
Steeles Bridge Over Rouge,35000618,Other - Public Services,1
Union Station,35000619,Transportation Terminal/Station,986748
Snow Melter Cisa,35000616,Other - Public Services,1
Snow Storage Facility,35000617,Other - Public Services,1
Coxwell Subway Stn,35000662,Transportation Terminal/Station,1
Danforth Substation,35000663,Transportation Terminal/Station,1
College Subway Stn,35000660,Transportation Terminal/Station,1
Coxwell Substation,35000661,Transportation Terminal/Station,1
Chester Subway Stn,35000658,Transportation Terminal/Station,1
Christie Subway Stn,35000659,Transportation Terminal/Station,1
Casa Loma Substation,35000656,Transportation Terminal/Station,1
Castle Frank Subway Stn,35000657,Transportation Terminal/Station,1
Downsview Park Stn,35000670,Transportation Terminal/Station,1
Dufferin Gate Loop,35000671,Transportation Terminal/Station,1
Don Mills Substation,35000668,Transportation Terminal/Station,1
Donlands Subway Stn,35000669,Transportation Terminal/Station,1
Davisville Subway Stn,35000666,Transportation Terminal/Station,1
Delaware Substation,35000667,Transportation Terminal/Station,1
Davisville Garage & Shop,35000664,Transportation Terminal/Station,120450
Davisville Substation,35000665,Transportation Terminal/Station,1
Beaches Substation,35000646,Transportation Terminal/Station,1
Bedford Substation,35000647,Transportation Terminal/Station,1
Bay Subway Stn,35000644,Transportation Terminal/Station,1
Bayview Substation,35000645,Transportation Terminal/Station,1
Asquith Substation,35000642,Transportation Terminal/Station,1
Bathurst Subway Stn,35000643,Transportation Terminal/Station,1
715 Spadina Ave,35000640,Transportation Terminal/Station,1
996 WOODBINE AVE,35000641,Transportation Terminal/Station,1
Carlaw Substation,35000654,Transportation Terminal/Station,1
Carpark 654,35000655,Transportation Terminal/Station,1
Broadview Substation,35000652,Transportation Terminal/Station,1
Broadview Subway Stn,35000653,Transportation Terminal/Station,1
Birchmount Rd,35000650,Transportation Terminal/Station,1
Bloor Subway Stn,35000651,Transportation Terminal/Station,1
Berwick Substation,35000648,Transportation Terminal/Station,1
Birchmount Bus Garage,35000649,Transportation Terminal/Station,150996
Hillcrest Substation,35000694,Transportation Terminal/Station,1
"Hillcrest, Gunn, Bathurst Garage",35000695,Transportation Terminal/Station,295000
High Park Subway Stn,35000692,Transportation Terminal/Station,1
Highway 407 Stn,35000693,Transportation Terminal/Station,1
Gunns Loop,35000690,Transportation Terminal/Station,1
Harbourfront Substation,35000691,Transportation Terminal/Station,2071
Greenwood Substation,35000688,Transportation Terminal/Station,1
Greenwood Subway Stn,35000689,Transportation Terminal/Station,1
Jane & Eglinton (SW),35000702,Transportation Terminal/Station,1
Jane Substation,35000703,Transportation Terminal/Station,1
Islington Subway Stn,35000700,Transportation Terminal/Station,1
Jane & Eglinton (NE),35000701,Transportation Terminal/Station,1
Indian Grove Substation,35000698,Transportation Terminal/Station,1
Islington Substation,35000699,Transportation Terminal/Station,1
Humber Loop,35000696,Transportation Terminal/Station,1
Humber Loop Substation,35000697,Transportation Terminal/Station,1
Eglinton Garage,35000678,Transportation Terminal/Station,120986
Eglinton West Subway Stn,35000679,Transportation Terminal/Station,1
Dupont Subway Stn,35000676,Transportation Terminal/Station,1
Eglington Subway Stn,35000677,Transportation Terminal/Station,1
Dundas Subway Stn,35000674,Transportation Terminal/Station,1
Dundas W Subway Stn,35000675,Transportation Terminal/Station,1
Dufferin Subway Stn,35000672,Transportation Terminal/Station,1
Duncan  Substation,35000673,Transportation Terminal/Station,1
Glencairn Subway Stn,35000686,Transportation Terminal/Station,1
Granby Substation,35000687,Transportation Terminal/Station,1
Freshmeadow & Don Mills (NE),35000684,Transportation Terminal/Station,1
Glenayr Substation,35000685,Transportation Terminal/Station,1
Finch Substation,35000682,Transportation Terminal/Station,1
Finch West Stn,35000683,Transportation Terminal/Station,1
Ellesmere Substation,35000680,Transportation Terminal/Station,1
Fairholme Substation,35000681,Transportation Terminal/Station,1
Museum Subway Stn,35000726,Transportation Terminal/Station,1
Neilson & Ellesmere (NE),35000727,Transportation Terminal/Station,1
McNicoll Bus Garage,35000724,Transportation Terminal/Station,830283
Meadowvale Loop,35000725,Transportation Terminal/Station,1
Malvern Garage & Shop,35000722,Transportation Terminal/Station,574125
McCowan Substation,35000723,Transportation Terminal/Station,1
Long Branch Substation,35000720,Transportation Terminal/Station,1
Main Street Subway Stn,35000721,Transportation Terminal/Station,1
Osgoode Subway Stn,35000734,Transportation Terminal/Station,1
Ossington Substation,35000735,Transportation Terminal/Station,1
Old Mill Subway Stn,35000732,Transportation Terminal/Station,1
Orde Substation,35000733,Transportation Terminal/Station,1
North York Ctr Subway Stn,35000730,Transportation Terminal/Station,1
Oakvale Substation,35000731,Transportation Terminal/Station,1
Neilson & Ellesmere (SW),35000728,Transportation Terminal/Station,1
Neville Park Loop,35000729,Transportation Terminal/Station,1
Kipling Substation,35000710,Transportation Terminal/Station,1
Lakeshore Garage & Shop,35000711,Transportation Terminal/Station,305356
Kipling & Dixon (NW),35000708,Transportation Terminal/Station,1
Kipling & Dixon (SW),35000709,Transportation Terminal/Station,1
Kennedy Substation,35000706,Transportation Terminal/Station,1
King Subway Stn,35000707,Transportation Terminal/Station,1
Jane Subway Stn,35000704,Transportation Terminal/Station,1
Keele Subway Stn,35000705,Transportation Terminal/Station,1
Leslie  Substation,35000718,Transportation Terminal/Station,1
Lippincott Substation,35000719,Transportation Terminal/Station,1
Lawrence Substation,35000716,Transportation Terminal/Station,1
Lawrence Subway Stn,35000717,Transportation Terminal/Station,1
Lansdowne Subway Stn,35000714,Transportation Terminal/Station,1
Lawrence East Substation,35000715,Transportation Terminal/Station,1
Lakeshore Substation,35000712,Transportation Terminal/Station,1
Lansdowne Substation,35000713,Transportation Terminal/Station,1
Sherbourne Subway Stn,35000758,Transportation Terminal/Station,1
Spadina North Subway Stn,35000759,Transportation Terminal/Station,1
