Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
Street Lighting Toronto,35000586,Other-Public Services,1
Street Lighting York,35000587,Other-Public Services,1
Street Lighting North York,35000584,Other-Public Services,1
Street Lighting Scarborough,35000585,Other-Public Services,1
2800 Steeles Ave W,35000630,Transportation,1
298 Dundas St W Pole 76,35000631,Transportation,2
24 Alness St,35000628,Transportation,1
27 Lascelles Blvd,35000629,Transportation,1
1873 Bloor Street W,35000626,Transportation,1
20 The Queensway,35000627,Transportation,1
1577 Danforth Ave Unit Ttcpkg,35000624,Transportation,1
1635 Danforth Ave,35000625,Transportation,1
554 Queen St W Pole 186,35000638,Transportation,1
700 Arrow Rd,35000639,Transportation,230000
366 Old Weston Rd,35000636,Transportation,1
406 Victoria Park Ave Pole Opp 3,35000637,Transportation,1
300 Transit Rd,35000634,Transportation,1
348 Queens Quay W,35000635,Transportation,1
3 Spadina Ave Pole 5,35000632,Transportation,1
30 Denton Ave,35000633,Transportation,1
Bus Shelter Lighting,35000614,Other-Public Services,267
King-Liberty Bridge,35000615,Other-Public Services,1
86 Ingram Dr.,35000612,Other-Public Services,1
949 Wilson Ave,35000613,Other-Public Services,1
617 Vaughan Rd,35000610,Other-Public Services,1
760 Victoria Park Ave,35000611,Other-Public Services,1
519 Conlins Rd,35000608,Other-Public Services,1
608 Bellamy Rd,35000609,Other-Public Services,1
1328 Lansdowne Ave,35000622,Transportation,1
15 Price St,35000623,Transportation,1
1 Ranleigh - Fire Vent,35000620,Transportation,1
128 York St Pole 50,35000621,Transportation,1
Steeles Bridge Over Rouge,35000618,Other-Public Services,1
Union Station,35000619,Transportation,986748
Snow Melter Cisa,35000616,Other-Public Services,1
Snow Storage Facility,35000617,Other-Public Services,1
Coxwell Subway Stn,35000662,Transportation,1
Danforth Substation,35000663,Transportation,1
College Subway Stn,35000660,Transportation,1
Coxwell Substation,35000661,Transportation,1
Chester Subway Stn,35000658,Transportation,1
Christie Subway Stn,35000659,Transportation,1
Casa Loma Substation,35000656,Transportation,1
Castle Frank Subway Stn,35000657,Transportation,1
Downsview Park Stn,35000670,Transportation,1
Dufferin Gate Loop,35000671,Transportation,1
Don Mills Substation,35000668,Transportation,1
Donlands Subway Stn,35000669,Transportation,1
Davisville Subway Stn,35000666,Transportation,1
Delaware Substation,35000667,Transportation,1
Davisville Garage & Shop,35000664,Transportation,120450
Davisville Substation,35000665,Transportation,1
Beaches Substation,35000646,Transportation,1
Bedford Substation,35000647,Transportation,1
Bay Subway Stn,35000644,Transportation,1
Bayview Substation,35000645,Transportation,1
Asquith Substation,35000642,Transportation,1
Bathurst Subway Stn,35000643,Transportation,1
715 Spadina Ave,35000640,Transportation,1
996 WOODBINE AVE,35000641,Transportation,1
