Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area,month,normalized_monthly_usage
Toryork Yard,35000534,Other-Public Services,26404,2024-10-01,3537.48
Toryork Yard,35000534,Other-Public Services,26404,2024-11-01,5942.33
Toryork Yard,35000534,Other-Public Services,26404,2024-12-01,19158.55
Train Storage Building,35000535,Other-Public Services,30849,2024-01-01,7029.89
Train Storage Building,35000535,Other-Public Services,30849,2024-02-01,6933.38
Train Storage Building,35000535,Other-Public Services,30849,2024-03-01,5108.13
Train Storage Building,35000535,Other-Public Services,30849,2024-04-01,3659.35
Train Storage Building,35000535,Other-Public Services,30849,2024-05-01,84.32
Train Storage Building,35000535,Other-Public Services,30849,2024-06-01,75.0
Train Storage Building,35000535,Other-Public Services,30849,2024-07-01,117.71
Train Storage Building,35000535,Other-Public Services,30849,2024-08-01,179.97
Train Storage Building,35000535,Other-Public Services,30849,2024-09-01,90.32
Train Storage Building,35000535,Other-Public Services,30849,2024-10-01,1683.37
Train Storage Building,35000535,Other-Public Services,30849,2024-11-01,6082.7
Train Storage Building,35000535,Other-Public Services,30849,2024-12-01,6789.75
Russell Carhouse,35000530,Other-Public Services,232619,2024-01-01,2765.58
Russell Carhouse,35000530,Other-Public Services,232619,2024-02-01,2244.99
Russell Carhouse,35000530,Other-Public Services,232619,2024-03-01,2063.21
Russell Carhouse,35000530,Other-Public Services,232619,2024-04-01,1167.34
Russell Carhouse,35000530,Other-Public Services,232619,2024-05-01,128.63
Russell Carhouse,35000530,Other-Public Services,232619,2024-06-01,13.5
Russell Carhouse,35000530,Other-Public Services,232619,2024-07-01,46.5
Russell Carhouse,35000530,Other-Public Services,232619,2024-08-01,119.1
Russell Carhouse,35000530,Other-Public Services,232619,2024-09-01,174.25
Russell Carhouse,35000530,Other-Public Services,232619,2024-10-01,622.5
Russell Carhouse,35000530,Other-Public Services,232619,2024-11-01,1541.39
Russell Carhouse,35000530,Other-Public Services,232619,2024-12-01,1988.04
Sixth St Garage,35000531,Other-Public Services,6997,2024-01-01,1844.38
Sixth St Garage,35000531,Other-Public Services,6997,2024-02-01,1587.29
Sixth St Garage,35000531,Other-Public Services,6997,2024-03-01,1463.0
Sixth St Garage,35000531,Other-Public Services,6997,2024-04-01,3464.61
Sixth St Garage,35000531,Other-Public Services,6997,2024-05-01,1454.06
Sixth St Garage,35000531,Other-Public Services,6997,2024-06-01,102.03
Sixth St Garage,35000531,Other-Public Services,6997,2024-07-01,37.47
Sixth St Garage,35000531,Other-Public Services,6997,2024-08-01,7.5
Sixth St Garage,35000531,Other-Public Services,6997,2024-09-01,81.28
Sixth St Garage,35000531,Other-Public Services,6997,2024-10-01,389.86
Sixth St Garage,35000531,Other-Public Services,6997,2024-11-01,226.52
Sixth St Garage,35000531,Other-Public Services,6997,2024-12-01,2064.24
Property Operation Garage,35000528,Other-Public Services,12034,2024-01-01,3645.63
Property Operation Garage,35000528,Other-Public Services,12034,2024-02-01,4531.96
Property Operation Garage,35000528,Other-Public Services,12034,2024-03-01,1028.67
Property Operation Garage,35000528,Other-Public Services,12034,2024-04-01,1667.81
Property Operation Garage,35000528,Other-Public Services,12034,2024-05-01,1278.79
Property Operation Garage,35000528,Other-Public Services,12034,2024-06-01,0.48999999999999994
Property Operation Garage,35000528,Other-Public Services,12034,2024-07-01,0.38
Property Operation Garage,35000528,Other-Public Services,12034,2024-08-01,0.0
Property Operation Garage,35000528,Other-Public Services,12034,2024-09-01,13.94
Property Operation Garage,35000528,Other-Public Services,12034,2024-10-01,780.81
Property Operation Garage,35000528,Other-Public Services,12034,2024-11-01,3163.36
Property Operation Garage,35000528,Other-Public Services,12034,2024-12-01,4236.7
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-01-01,6135.15
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-02-01,4561.78
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-03-01,4972.48
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-04-01,2050.54
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-05-01,326.02
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-06-01,124.05
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-07-01,70.49
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-08-01,55.28
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-09-01,152.1
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-10-01,1693.6
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-11-01,4400.96
Rockcliffe Yard,35000529,Other-Public Services,14047,2024-12-01,4599.27
Yonge Street Yard,35000540,Other-Public Services,20247,2024-01-01,5840.31
Yonge Street Yard,35000540,Other-Public Services,20247,2024-02-01,7587.93
Yonge Street Yard,35000540,Other-Public Services,20247,2024-03-01,7124.37
Yonge Street Yard,35000540,Other-Public Services,20247,2024-04-01,7223.67
Yonge Street Yard,35000540,Other-Public Services,20247,2024-05-01,648.63
Yonge Street Yard,35000540,Other-Public Services,20247,2024-06-01,35.41
Yonge Street Yard,35000540,Other-Public Services,20247,2024-07-01,84.59
Yonge Street Yard,35000540,Other-Public Services,20247,2024-08-01,12.06
Yonge Street Yard,35000540,Other-Public Services,20247,2024-09-01,14.0
Yonge Street Yard,35000540,Other-Public Services,20247,2024-10-01,1373.73
Yonge Street Yard,35000540,Other-Public Services,20247,2024-11-01,6308.5
Yonge Street Yard,35000540,Other-Public Services,20247,2024-12-01,8487.55
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-01-01,8039.960000000001
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-02-01,6192.62
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-03-01,5486.38
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-04-01,2652.83
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-05-01,557.45
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-06-01,1.5
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-07-01,0.55
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-08-01,0.0
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-09-01,53.72
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-10-01,1377.37
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-11-01,4249.41
Whitlam Warehouse,35000538,Other-Public Services,24865,2024-12-01,8002.2
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-01-01,4794.92
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-02-01,3497.02
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-03-01,3294.37
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-04-01,1732.15
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-05-01,339.95
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-06-01,108.09
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-07-01,100.15
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-08-01,151.69
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-09-01,179.22
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-10-01,918.95
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-11-01,2028.3
Winter Maintenance Depot,35000539,Other-Public Services,12152,2024-12-01,3511.68
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-01-01,0.0
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-02-01,0.0
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-03-01,0.0
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-04-01,1.41
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-05-01,1.45
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-06-01,0.14
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-07-01,0.0
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-08-01,0.0
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-09-01,0.0
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-10-01,0.0
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-11-01,0.0
Wellington Yard & Office,35000536,Other-Public Services,2164,2024-12-01,0.0
Western Yard (Obico),35000537,Other-Public Services,1,2024-01-01,80941.59
Western Yard (Obico),35000537,Other-Public Services,1,2024-02-01,60237.16
Western Yard (Obico),35000537,Other-Public Services,1,2024-03-01,56325.19
Western Yard (Obico),35000537,Other-Public Services,1,2024-04-01,36185.93
Western Yard (Obico),35000537,Other-Public Services,1,2024-05-01,9684.11
Western Yard (Obico),35000537,Other-Public Services,1,2024-06-01,2426.75
Western Yard (Obico),35000537,Other-Public Services,1,2024-07-01,671.32
Western Yard (Obico),35000537,Other-Public Services,1,2024-08-01,1943.78
Western Yard (Obico),35000537,Other-Public Services,1,2024-09-01,3886.1
Western Yard (Obico),35000537,Other-Public Services,1,2024-10-01,18235.87
Western Yard (Obico),35000537,Other-Public Services,1,2024-11-01,38879.9
Western Yard (Obico),35000537,Other-Public Services,1,2024-12-01,65033.049999999996
Morningside Yard,35000518,Other-Public Services,14779,2024-01-01,6170.01
Morningside Yard,35000518,Other-Public Services,14779,2024-02-01,5213.56
Morningside Yard,35000518,Other-Public Services,14779,2024-03-01,6861.77
Morningside Yard,35000518,Other-Public Services,14779,2024-04-01,3832.02
Morningside Yard,35000518,Other-Public Services,14779,2024-05-01,3959.75
Morningside Yard,35000518,Other-Public Services,14779,2024-06-01,3832.02
Morningside Yard,35000518,Other-Public Services,14779,2024-07-01,3959.75
Morningside Yard,35000518,Other-Public Services,14779,2024-08-01,3959.75
Morningside Yard,35000518,Other-Public Services,14779,2024-09-01,3832.02
Morningside Yard,35000518,Other-Public Services,14779,2024-10-01,3938.82
Morningside Yard,35000518,Other-Public Services,14779,2024-11-01,3656.34
Morningside Yard,35000518,Other-Public Services,14779,2024-12-01,5714.67
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-01-01,368479.41
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-02-01,296945.88
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-03-01,277952.22
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-04-01,185260.81
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-05-01,74216.83
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-06-01,18485.59
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-07-01,2495.73
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-08-01,4858.56
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-09-01,17239.47
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-10-01,104283.93
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-11-01,207613.24
Mt. Dennis Bus Garage,35000519,Other-Public Services,710493,2024-12-01,325758.06
Leslie Yard,35000512,Other-Public Services,6135,2024-01-01,2881.66
Leslie Yard,35000512,Other-Public Services,6135,2024-02-01,2622.07
Leslie Yard,35000512,Other-Public Services,6135,2024-03-01,1843.07
Leslie Yard,35000512,Other-Public Services,6135,2024-04-01,1338.71
Leslie Yard,35000512,Other-Public Services,6135,2024-05-01,96.03
Leslie Yard,35000512,Other-Public Services,6135,2024-06-01,92.93
Leslie Yard,35000512,Other-Public Services,6135,2024-07-01,76.05
Leslie Yard,35000512,Other-Public Services,6135,2024-08-01,18.79
Leslie Yard,35000512,Other-Public Services,6135,2024-09-01,18.47
Leslie Yard,35000512,Other-Public Services,6135,2024-10-01,605.45
Leslie Yard,35000512,Other-Public Services,6135,2024-11-01,2355.52
Leslie Yard,35000512,Other-Public Services,6135,2024-12-01,3829.31
Pharmacy Yard,35000527,Other-Public Services,1851,2024-01-01,1096.96
